id_candidat,id_hypothèse,borne_sup,borne_inf,resultat
14,64,10.6345,7.3655,9
20,65,0,0,0
19,65,2.9458,1.0542,2
1,65,7.6044,4.3956,6
11,65,15.272,10.728,13
4,65,7.6044,4.3956,6
3,65,32.0656,25.9344,29
8,65,1.6722,0.3278,1
16,65,1.6722,0.3278,1
12,65,29.9993,24.0007,27
10,65,1.6722,0.3278,1
6,65,2.9458,1.0542,2
2,65,6.4724,3.5276,5
15,65,1.6722,0.3278,1
14,65,7.6044,4.3956,6
4,66,7.6044,4.3956,6
6,66,2.9458,1.0542,2
1,66,7.6044,4.3956,6
3,66,29.9993,24.0007,27
16,66,1.6722,0.3278,1
12,66,27.9254,22.0746,25
10,66,1.6722,0.3278,1
20,66,0,0,0
8,66,1.6722,0.3278,1
2,66,5.3239,2.6761,4
15,66,0,0,0
19,66,1.6722,0.3278,1
13,66,16.3442,11.6558,14
11,66,14.1954,9.8046,12
30,67,3.0868,0.9132,2
1,67,11.2216,6.7784,9
12,67,27.3153,20.6847,24
2,67,8.9806,5.0194,7
3,67,29.405,22.595,26
13,67,17.2333,11.7667,14.5
11,67,12.3288,7.6712,10
4,67,9.5446,5.4554,7.5
12,68,28.3614,21.6386,25
9,68,6.1093,2.8907,4.5
4,68,12.3288,7.6712,10
2,68,8.9806,5.0194,7
13,68,17.7719,12.2281,15
11,68,12.3288,7.6712,10
